Order Country,Orders,Delayed,On_Time_or_Early,Avg_Delay_Gap_Days,Delay_Rate,On_Time_or_Early_Rate,Efficiency_Index,Regional_Delay_Index
Bután,5,5,0,2.0,100.0,0.0,0.0,174.5506531820524
Armenia,5,5,0,1.0,100.0,0.0,0.0,174.5506531820524
Guinea Ecuatorial,2,2,0,1.5,100.0,0.0,0.0,174.5506531820524
Eritrea,2,2,0,2.0,100.0,0.0,0.0,174.5506531820524
República de Gambia,5,5,0,2.0,100.0,0.0,0.0,174.5506531820524
Sáhara Occidental,2,2,0,2.0,100.0,0.0,0.0,174.5506531820524
Sudán del Sur,5,5,0,2.2,100.0,0.0,0.0,174.5506531820524
Suazilandia,5,5,0,2.0,100.0,0.0,0.0,174.5506531820524
Laos,6,6,0,1.8333333333333333,100.0,0.0,0.0,174.5506531820524
Luxemburgo,10,10,0,2.7,100.0,0.0,0.0,174.5506531820524
Estonia,29,28,1,1.5517241379310345,96.55172413793103,3.4482758620689653,3.4482758620689653,168.53166514129197
República del Congo,13,12,1,1.0,92.3076923076923,7.6923076923076925,7.6923076923076925,161.12367986035605
Eslovenia,6,5,1,1.8333333333333333,83.33333333333334,16.666666666666664,16.666666666666664,145.45887765171034
Guyana,19,15,4,0.8421052631578947,78.94736842105263,21.052631578947366,21.052631578947366,137.80314724898872
Gabón,45,35,10,1.1111111111111112,77.77777777777779,22.22222222222222,22.22222222222222,135.76161914159633
Túnez,36,28,8,0.8611111111111112,77.77777777777779,22.22222222222222,22.22222222222222,135.76161914159633
Namibia,20,15,5,0.75,75.0,25.0,25.0,130.9129898865393
Georgia,87,64,23,0.6436781609195402,73.5632183908046,26.436781609195403,26.436781609195403,128.40507820288911
Eslovaquia,22,16,6,0.8181818181818182,72.72727272727273,27.27272727272727,27.27272727272727,126.94592958694722
Bosnia y Herzegovina,43,31,12,0.627906976744186,72.09302325581395,27.906976744186046,27.906976744186046,125.83884299171217
